iter	Passed	Remaining
0	0	46
1	0	43
2	1	41
3	1	38
4	2	38
5	2	37
6	2	37
7	3	37
8	3	36
9	4	36
10	4	35
11	4	35
12	5	34
13	5	34
14	6	34
15	6	33
16	6	33
17	7	32
18	7	32
19	7	31
20	8	31
21	8	30
22	9	30
23	9	30
24	10	30
25	10	29
26	10	29
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	27
33	13	26
34	14	26
35	14	26
36	15	25
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	18	22
44	18	22
45	18	22
46	19	21
47	19	21
48	20	20
49	20	20
50	20	20
51	21	19
52	21	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	16
59	24	16
60	25	16
61	25	15
62	26	15
63	26	14
64	26	14
65	27	14
66	27	13
67	28	13
68	28	12
69	28	12
70	29	11
71	29	11
72	30	11
73	30	10
74	30	10
75	31	9
76	31	9
77	32	9
78	32	8
79	32	8
80	33	7
81	33	7
82	34	7
83	34	6
84	35	6
85	35	5
86	36	5
87	36	5
88	37	4
89	37	4
90	38	3
91	38	3
92	39	2
93	39	2
94	39	2
95	40	1
96	40	1
97	41	0
98	41	0
99	41	0
