iter	Passed	Remaining
0	138	137931
1	140	70316
2	143	47683
3	146	36365
4	148	29588
5	151	25045
6	154	21894
7	156	19462
8	159	17573
9	162	16041
10	163	14722
11	165	13625
12	167	12697
13	168	11888
14	170	11177
15	171	10544
16	172	9986
17	173	9487
18	174	9032
19	175	8618
20	176	8244
21	177	7902
22	178	7591
23	179	7306
24	180	7046
25	181	6795
26	182	6569
27	183	6355
28	183	6159
29	184	5972
30	185	5797
31	186	5633
32	186	5477
33	187	5331
34	188	5191
35	188	5052
36	189	4921
37	189	4797
38	189	4679
39	190	4567
40	190	4460
41	191	4359
42	191	4262
43	191	4169
44	192	4080
45	192	3996
46	193	3915
47	193	3837
48	193	3762
49	194	3691
50	194	3622
51	195	3556
52	195	3492
53	195	3431
54	196	3372
55	196	3315
56	197	3260
57	197	3207
58	197	3156
59	198	3106
60	198	3058
61	199	3012
62	199	2966
63	199	2923
64	200	2880
65	200	2840
66	201	2801
67	201	2762
68	201	2725
69	202	2688
70	202	2653
71	203	2618
72	203	2585
73	203	2552
74	204	2520
75	204	2489
76	205	2459
77	205	2429
78	205	2401
79	206	2373
80	206	2345
81	207	2318
82	207	2290
83	207	2265
84	208	2240
85	208	2215
86	208	2191
87	209	2168
88	209	2145
89	210	2123
90	210	2101
91	210	2080
92	211	2059
93	211	2041
94	212	2022
95	212	2002
96	213	1983
97	213	1965
98	213	1946
99	214	1928
100	214	1911
101	215	1893
102	215	1876
103	215	1859
104	216	1843
105	216	1827
106	217	1811
107	217	1796
108	217	1781
109	218	1766
110	218	1751
111	219	1737
112	219	1723
113	219	1709
114	220	1695
115	220	1682
116	221	1668
117	221	1655
118	221	1643
119	222	1630
120	222	1618
121	223	1605
122	223	1593
123	223	1582
124	224	1570
125	224	1559
126	225	1547
127	225	1536
128	225	1525
129	226	1515
130	226	1504
131	227	1494
132	227	1484
133	228	1474
134	228	1464
135	229	1454
136	229	1445
137	229	1435
138	230	1426
139	230	1416
140	231	1407
141	231	1397
142	231	1389
143	232	1380
144	232	1371
145	232	1362
146	233	1354
147	233	1345
148	234	1337
149	234	1328
150	234	1320
151	235	1312
152	235	1304
153	236	1296
154	236	1289
155	236	1281
156	237	1273
157	237	1266
158	237	1258
159	238	1251
160	238	1243
161	239	1236
162	239	1229
163	239	1222
164	240	1215
165	240	1208
166	240	1201
167	241	1194
168	241	1188
169	242	1182
170	242	1176
171	243	1170
172	243	1164
173	243	1158
174	244	1152
175	244	1146
176	245	1140
177	245	1134
178	246	1129
179	246	1123
180	247	1118
181	247	1112
182	247	1107
183	248	1101
184	248	1096
185	249	1090
186	249	1085
187	249	1079
188	250	1074
189	250	1069
190	251	1064
191	251	1059
192	252	1054
193	252	1049
194	252	1044
195	253	1039
196	253	1034
197	254	1029
198	254	1024
199	254	1019
200	255	1015
201	255	1010
202	256	1005
203	256	1001
204	256	996
205	257	991
206	257	987
207	258	983
208	258	978
209	259	974
210	259	970
211	259	965
212	260	961
213	260	957
214	261	953
215	261	949
216	261	945
217	262	941
218	262	937
219	263	932
220	263	929
221	263	925
222	264	921
223	264	917
224	265	913
225	265	909
226	266	906
227	266	902
228	266	898
229	267	895
230	267	891
231	268	888
232	268	884
233	269	881
234	269	877
235	270	874
236	270	870
237	270	867
